               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.026553,           0.0025876,          0.00093793,             0.95101,             0.91598,             0.97381,             0.69458,             0.01755,           0.0018829,          0.00045536,             0.00778,             0.00778,             0.00778
                  76,            0.026516,           0.0026462,          0.00078361,             0.93927,             0.95029,             0.97469,             0.68946,            0.017612,           0.0017969,          0.00045909,             0.00775,             0.00775,             0.00775
                  77,             0.02627,           0.0026007,          0.00086262,             0.93954,             0.92304,             0.96911,             0.68965,            0.016882,           0.0018246,          0.00040226,             0.00772,             0.00772,             0.00772
                  78,            0.025564,           0.0025031,          0.00095822,             0.94036,             0.94983,             0.97215,             0.69698,            0.017527,           0.0017671,          0.00044952,             0.00769,             0.00769,             0.00769
                  79,             0.02562,           0.0025164,          0.00086685,             0.94838,             0.94317,             0.97348,             0.68361,            0.017814,           0.0017677,          0.00044754,             0.00766,             0.00766,             0.00766
                  80,            0.025627,           0.0026078,          0.00078196,             0.93811,             0.94996,             0.97111,             0.68963,             0.01693,           0.0017645,          0.00038058,             0.00763,             0.00763,             0.00763
                  81,            0.025212,           0.0024857,          0.00082803,             0.93987,             0.94811,             0.97411,             0.69957,            0.017342,           0.0017814,          0.00042143,              0.0076,              0.0076,              0.0076
                  82,            0.026055,            0.002457,           0.0010904,             0.91435,             0.94312,             0.97137,             0.68495,            0.017728,           0.0018293,          0.00041881,             0.00757,             0.00757,             0.00757
                  83,            0.025722,           0.0025627,          0.00083232,             0.93541,             0.95874,             0.97458,             0.70793,            0.017845,           0.0017382,          0.00057346,             0.00754,             0.00754,             0.00754
                  84,            0.024989,           0.0024693,          0.00070768,             0.93272,             0.95547,             0.97612,             0.70119,            0.017116,           0.0017955,          0.00038325,             0.00751,             0.00751,             0.00751
                  85,            0.025772,           0.0025923,           0.0008215,             0.94464,              0.9501,               0.978,             0.71044,            0.016994,           0.0017713,          0.00043082,             0.00748,             0.00748,             0.00748
                  86,            0.025152,           0.0023869,          0.00077061,             0.94674,             0.94476,             0.97715,             0.71888,             0.01618,           0.0017649,          0.00038387,             0.00745,             0.00745,             0.00745
                  87,            0.025626,           0.0025209,           0.0010886,             0.93034,              0.9467,             0.97424,             0.71112,            0.016625,           0.0017812,          0.00047667,             0.00742,             0.00742,             0.00742
                  88,            0.025437,           0.0026123,          0.00077781,             0.93878,             0.94561,             0.97829,             0.72335,             0.01697,           0.0017463,           0.0004395,             0.00739,             0.00739,             0.00739
                  89,            0.025411,           0.0024796,           0.0007727,              0.9526,              0.9374,             0.97806,             0.71194,             0.01689,           0.0017185,          0.00039133,             0.00736,             0.00736,             0.00736
                  90,            0.025132,           0.0024501,           0.0010045,             0.95037,             0.95371,             0.97734,             0.71613,            0.016467,           0.0017036,          0.00042799,             0.00733,             0.00733,             0.00733
                  91,            0.025243,           0.0025216,          0.00070197,             0.94519,             0.96831,             0.98187,             0.71048,            0.016609,           0.0016991,          0.00038495,              0.0073,              0.0073,              0.0073
                  92,            0.024882,           0.0024083,          0.00087901,              0.9487,             0.94677,             0.98174,             0.71097,            0.016628,           0.0017589,          0.00040927,             0.00727,             0.00727,             0.00727
                  93,            0.024751,           0.0023946,          0.00079104,             0.95983,             0.94999,             0.98156,             0.71459,               0.017,           0.0016877,          0.00038987,             0.00724,             0.00724,             0.00724
                  94,            0.024936,           0.0025084,          0.00080851,             0.94025,              0.9611,             0.97869,             0.71104,            0.017037,           0.0017294,          0.00034941,             0.00721,             0.00721,             0.00721
                  95,            0.024718,           0.0024169,          0.00079192,             0.92622,             0.95677,              0.9786,             0.70573,            0.017636,           0.0017478,          0.00032955,             0.00718,             0.00718,             0.00718
                  96,            0.024153,           0.0024018,          0.00083315,             0.93773,             0.96307,             0.97665,             0.71696,            0.016463,           0.0017134,          0.00036128,             0.00715,             0.00715,             0.00715
                  97,            0.024526,            0.002359,          0.00083947,              0.9547,             0.94399,             0.97761,             0.70991,            0.017071,           0.0016828,          0.00041105,             0.00712,             0.00712,             0.00712
                  98,            0.024611,           0.0024023,          0.00089185,             0.94714,              0.9462,             0.97794,             0.70768,             0.01646,           0.0016927,          0.00036777,             0.00709,             0.00709,             0.00709
                  99,            0.024572,           0.0024394,          0.00088266,             0.93155,             0.95605,             0.97716,             0.71968,            0.016305,           0.0017041,           0.0003623,             0.00706,             0.00706,             0.00706
                 100,            0.024751,            0.002383,          0.00077459,             0.93747,             0.96024,              0.9782,             0.67353,            0.017616,            0.001729,          0.00036722,             0.00703,             0.00703,             0.00703
                 101,            0.024474,           0.0024023,          0.00082639,             0.93936,             0.96358,             0.97883,             0.71922,            0.015592,           0.0016823,           0.0003809,               0.007,               0.007,               0.007
                 102,            0.024271,           0.0023514,          0.00067588,             0.93874,             0.96353,             0.97987,             0.73846,            0.015325,           0.0016497,          0.00033605,             0.00697,             0.00697,             0.00697
                 103,            0.023712,           0.0023717,          0.00070875,             0.96245,             0.95409,             0.98267,             0.72546,            0.015936,           0.0016265,          0.00032674,             0.00694,             0.00694,             0.00694
                 104,            0.023554,           0.0023623,          0.00086768,             0.95809,             0.94943,             0.98095,             0.72572,            0.015789,           0.0016382,          0.00035687,             0.00691,             0.00691,             0.00691
                 105,            0.023876,           0.0023928,          0.00074816,             0.95232,             0.95612,             0.98088,             0.72971,            0.015491,           0.0016638,          0.00033194,             0.00688,             0.00688,             0.00688
                 106,            0.024103,           0.0022806,          0.00073858,              0.9591,             0.95475,             0.98015,             0.73542,            0.016009,            0.001681,          0.00039657,             0.00685,             0.00685,             0.00685
                 107,            0.023179,           0.0023386,          0.00082871,             0.94584,             0.96324,             0.98295,             0.75632,            0.014976,           0.0016085,          0.00041666,             0.00682,             0.00682,             0.00682
                 108,             0.02339,           0.0024058,          0.00068183,             0.94612,             0.95591,             0.98217,             0.73119,            0.016158,           0.0016052,           0.0003417,             0.00679,             0.00679,             0.00679
                 109,            0.023572,           0.0023744,          0.00071326,             0.94054,              0.9594,             0.98054,             0.73044,            0.015787,            0.001655,           0.0003323,             0.00676,             0.00676,             0.00676
                 110,            0.023089,           0.0023088,          0.00073763,             0.95966,             0.96039,             0.98346,             0.73039,            0.015386,           0.0015737,          0.00031147,             0.00673,             0.00673,             0.00673
                 111,            0.023317,           0.0022849,          0.00078878,             0.94505,              0.9662,             0.98122,             0.73836,            0.015128,           0.0015767,          0.00037785,              0.0067,              0.0067,              0.0067
                 112,            0.023774,           0.0023143,          0.00067055,             0.94827,             0.96989,             0.98141,             0.73836,            0.014807,           0.0016167,          0.00033747,             0.00667,             0.00667,             0.00667
                 113,            0.023061,           0.0023395,           0.0007004,             0.94312,             0.96688,              0.9828,             0.76156,            0.014084,           0.0015833,          0.00033458,             0.00664,             0.00664,             0.00664
                 114,            0.023062,           0.0022625,          0.00072227,             0.96502,               0.938,             0.97978,             0.74312,            0.015145,           0.0015717,          0.00044483,             0.00661,             0.00661,             0.00661
                 115,            0.022912,           0.0022263,          0.00068758,             0.95047,             0.95922,             0.98559,             0.73415,            0.015098,           0.0015594,          0.00036204,             0.00658,             0.00658,             0.00658
                 116,            0.022579,           0.0023133,          0.00089207,             0.95262,             0.96812,             0.98484,             0.74949,            0.015575,           0.0015352,          0.00038764,             0.00655,             0.00655,             0.00655
                 117,            0.023321,           0.0022284,          0.00088232,              0.9509,             0.96983,             0.98439,              0.7626,            0.014604,           0.0015819,          0.00032953,             0.00652,             0.00652,             0.00652
                 118,            0.022553,           0.0021555,          0.00065761,             0.95521,             0.96987,             0.98387,             0.75224,             0.01478,           0.0015739,          0.00036424,             0.00649,             0.00649,             0.00649
                 119,             0.02326,           0.0021977,          0.00057777,             0.95127,             0.96082,             0.98269,             0.76137,            0.015162,           0.0015765,           0.0003246,             0.00646,             0.00646,             0.00646
                 120,            0.022196,           0.0021735,          0.00078644,             0.96824,             0.95498,              0.9843,             0.75562,            0.014499,           0.0015776,           0.0003458,             0.00643,             0.00643,             0.00643
                 121,             0.02306,           0.0022772,          0.00063886,             0.96297,             0.96929,             0.98484,             0.75218,            0.014407,           0.0015624,          0.00034858,              0.0064,              0.0064,              0.0064
                 122,            0.022206,           0.0021472,          0.00067608,             0.97282,             0.96003,             0.98593,             0.75285,            0.014885,           0.0015625,          0.00031103,             0.00637,             0.00637,             0.00637
                 123,            0.022595,           0.0023126,          0.00062201,             0.96174,             0.96541,             0.98545,             0.75899,            0.014306,           0.0015464,          0.00031366,             0.00634,             0.00634,             0.00634
                 124,            0.022807,           0.0021689,          0.00061149,             0.96072,             0.96005,             0.98455,             0.76608,            0.014431,           0.0015727,           0.0003416,             0.00631,             0.00631,             0.00631
                 125,             0.02215,           0.0021928,          0.00062022,             0.96152,             0.96397,             0.98455,             0.75077,            0.015012,           0.0015406,          0.00032082,             0.00628,             0.00628,             0.00628
                 126,            0.022654,           0.0022864,          0.00063924,             0.96551,             0.96181,             0.98584,             0.76302,            0.014048,            0.001504,          0.00031842,             0.00625,             0.00625,             0.00625
                 127,            0.022553,           0.0022014,          0.00062439,              0.9643,             0.95577,             0.98272,             0.74773,            0.014477,           0.0015764,          0.00030982,             0.00622,             0.00622,             0.00622
                 128,             0.02254,           0.0022238,          0.00067916,             0.96109,             0.97049,             0.98651,             0.75566,            0.014745,            0.001544,          0.00033666,             0.00619,             0.00619,             0.00619
                 129,            0.021849,           0.0021195,          0.00064866,             0.97282,             0.96071,             0.98461,              0.7766,            0.013689,           0.0015202,           0.0003089,             0.00616,             0.00616,             0.00616
                 130,            0.023033,           0.0021538,          0.00071288,             0.96384,             0.96428,             0.98668,             0.76264,            0.014386,             0.00153,          0.00032673,             0.00613,             0.00613,             0.00613
                 131,            0.022138,            0.002071,          0.00081746,             0.95721,             0.97115,             0.98672,             0.76999,            0.013952,           0.0015097,          0.00036133,              0.0061,              0.0061,              0.0061
                 132,            0.022374,           0.0020698,          0.00064896,             0.96786,             0.97135,             0.98554,             0.75376,            0.014817,           0.0015279,          0.00030402,             0.00607,             0.00607,             0.00607
                 133,            0.022883,           0.0021303,          0.00070122,             0.96522,             0.96949,             0.98706,             0.76728,            0.014412,           0.0015142,          0.00032708,             0.00604,             0.00604,             0.00604
                 134,            0.021385,           0.0022261,          0.00069039,             0.96235,             0.96976,             0.98523,             0.76789,            0.014349,           0.0015175,          0.00032387,             0.00601,             0.00601,             0.00601
                 135,            0.022139,           0.0022739,          0.00071602,             0.96164,             0.96943,             0.98499,             0.76544,            0.014235,            0.001517,          0.00028888,             0.00598,             0.00598,             0.00598
                 136,            0.022336,           0.0021365,          0.00056713,             0.96434,             0.95454,             0.98403,             0.76777,            0.014498,           0.0015363,          0.00030488,             0.00595,             0.00595,             0.00595
                 137,            0.021903,           0.0021319,           0.0007803,             0.95833,             0.97164,             0.98457,             0.76316,            0.014106,           0.0015283,          0.00035063,             0.00592,             0.00592,             0.00592
                 138,            0.021949,           0.0021972,          0.00076877,             0.96607,             0.96731,             0.98764,             0.76615,            0.014087,           0.0015091,          0.00051931,             0.00589,             0.00589,             0.00589
                 139,            0.021334,           0.0021722,          0.00076473,             0.97278,             0.96036,             0.98717,              0.7758,            0.013727,           0.0015125,          0.00034111,             0.00586,             0.00586,             0.00586
                 140,            0.021294,           0.0021143,          0.00058165,             0.96597,             0.95828,             0.98706,             0.76444,            0.013651,           0.0014932,          0.00028752,             0.00583,             0.00583,             0.00583
                 141,            0.021482,           0.0021304,          0.00067814,             0.96709,             0.97197,             0.98751,              0.7767,            0.013739,           0.0014971,          0.00029403,              0.0058,              0.0058,              0.0058
                 142,             0.02149,           0.0022176,          0.00080333,             0.96105,             0.97205,             0.98765,             0.77267,            0.013836,           0.0014728,          0.00032821,             0.00577,             0.00577,             0.00577
                 143,            0.021005,           0.0020529,          0.00063764,             0.96246,             0.96726,             0.98699,             0.77108,            0.013924,           0.0014726,          0.00028143,             0.00574,             0.00574,             0.00574
                 144,            0.021188,           0.0021535,          0.00065115,             0.97318,             0.95042,             0.98604,             0.76942,            0.014013,           0.0014648,          0.00028652,             0.00571,             0.00571,             0.00571
                 145,            0.021145,           0.0021024,          0.00061631,             0.96599,             0.95974,             0.98634,             0.77395,            0.013871,           0.0014865,          0.00034505,             0.00568,             0.00568,             0.00568
                 146,            0.021571,           0.0021664,          0.00066075,             0.97754,             0.96092,             0.98768,             0.79252,            0.012901,           0.0014601,          0.00028614,             0.00565,             0.00565,             0.00565
                 147,            0.020753,           0.0020959,          0.00069328,             0.96649,             0.96694,             0.98873,             0.78312,            0.013636,           0.0014562,          0.00029389,             0.00562,             0.00562,             0.00562
                 148,            0.021702,           0.0020421,          0.00071512,             0.97719,             0.96047,             0.98787,             0.79274,            0.012916,           0.0014537,          0.00025815,             0.00559,             0.00559,             0.00559
                 149,            0.021151,           0.0020999,          0.00055523,             0.97539,              0.9592,              0.9882,             0.76894,            0.013685,           0.0014752,          0.00027621,             0.00556,             0.00556,             0.00556
                 150,            0.020308,           0.0020647,          0.00050647,             0.97108,             0.96817,             0.98677,             0.78235,            0.012967,           0.0014459,          0.00026812,             0.00553,             0.00553,             0.00553
                 151,            0.021079,           0.0021393,          0.00068412,             0.96561,             0.97672,             0.98847,             0.77851,            0.013012,           0.0014618,          0.00028316,              0.0055,              0.0055,              0.0055
                 152,            0.020667,           0.0021883,          0.00061846,             0.96617,             0.96296,             0.98724,             0.77145,            0.013775,           0.0014659,          0.00025834,             0.00547,             0.00547,             0.00547
                 153,            0.020777,           0.0021433,          0.00063112,             0.97165,             0.96765,             0.98895,             0.79662,            0.012615,           0.0014372,          0.00027194,             0.00544,             0.00544,             0.00544
                 154,            0.021017,           0.0020588,          0.00069987,             0.97849,             0.95939,             0.98908,             0.78377,            0.013179,           0.0014506,          0.00025988,             0.00541,             0.00541,             0.00541
                 155,            0.021103,            0.002022,          0.00055123,             0.96326,              0.9598,             0.98757,              0.7717,            0.014184,           0.0014774,          0.00029418,             0.00538,             0.00538,             0.00538
                 156,            0.020381,           0.0020034,           0.0006204,             0.97664,             0.96686,             0.98993,             0.78764,            0.013258,           0.0014442,          0.00026564,             0.00535,             0.00535,             0.00535
                 157,            0.021006,           0.0021232,          0.00072225,             0.96634,             0.95669,             0.98786,             0.79704,            0.013033,           0.0014579,          0.00025893,             0.00532,             0.00532,             0.00532
