               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.021516,           0.0085081,          0.00082549,             0.96604,             0.95187,             0.96371,             0.72564,            0.017961,            0.007266,           0.0002871,            0.003169,            0.003169,            0.003169
                  71,            0.021616,           0.0085537,          0.00081807,             0.97328,              0.9556,             0.96697,             0.72916,            0.017848,           0.0070143,           0.0002732,             0.00307,             0.00307,             0.00307
                  72,            0.021521,           0.0084373,          0.00093889,              0.9721,              0.9525,             0.96542,             0.73156,            0.017767,           0.0072086,          0.00028776,            0.002971,            0.002971,            0.002971
                  73,            0.021625,           0.0083879,          0.00086313,             0.97036,             0.95364,             0.96581,             0.72687,            0.017821,           0.0071604,          0.00027629,            0.002872,            0.002872,            0.002872
                  74,            0.021641,           0.0082815,          0.00080418,             0.97413,             0.95173,             0.96527,             0.72952,            0.017666,           0.0072968,          0.00024359,            0.002773,            0.002773,            0.002773
                  75,             0.02135,           0.0085039,          0.00093503,             0.97341,             0.95376,             0.96753,             0.73688,            0.017549,           0.0071753,          0.00030995,            0.002674,            0.002674,            0.002674
                  76,            0.021015,           0.0084582,          0.00076581,              0.9723,             0.95467,             0.96545,             0.73253,            0.017603,           0.0072186,          0.00029634,            0.002575,            0.002575,            0.002575
                  77,            0.021207,           0.0082209,          0.00067703,             0.97471,             0.95329,             0.96558,             0.73582,            0.017437,           0.0072122,          0.00022853,            0.002476,            0.002476,            0.002476
                  78,            0.021193,           0.0082011,          0.00084376,              0.9721,             0.95375,             0.96479,             0.73697,             0.01759,           0.0073245,           0.0002147,            0.002377,            0.002377,            0.002377
                  79,            0.020999,           0.0083885,          0.00066185,             0.97418,             0.95344,             0.96733,             0.72996,            0.017623,           0.0070259,          0.00023555,            0.002278,            0.002278,            0.002278
                  80,            0.020887,           0.0081508,           0.0006929,             0.97308,             0.95528,             0.96694,             0.73585,            0.017375,           0.0070983,          0.00024219,            0.002179,            0.002179,            0.002179
                  81,            0.020615,           0.0081676,          0.00090071,             0.97208,             0.95736,             0.96848,             0.73698,            0.017315,            0.006993,          0.00022788,             0.00208,             0.00208,             0.00208
                  82,            0.020556,           0.0081592,          0.00068425,             0.97241,             0.95569,             0.96732,             0.74141,            0.017214,           0.0069797,           0.0002751,            0.001981,            0.001981,            0.001981
                  83,            0.020446,           0.0079981,          0.00083466,             0.97466,             0.95663,             0.96664,             0.74554,            0.016919,           0.0069993,          0.00019267,            0.001882,            0.001882,            0.001882
                  84,            0.020478,           0.0083009,          0.00078446,             0.97378,              0.9561,             0.96859,             0.74112,            0.017057,           0.0071541,          0.00021009,            0.001783,            0.001783,            0.001783
                  85,            0.020072,           0.0081155,          0.00073996,             0.97518,             0.95707,             0.96941,              0.7457,            0.016966,           0.0070708,          0.00019728,            0.001684,            0.001684,            0.001684
                  86,            0.020385,           0.0080671,           0.0008019,             0.97532,              0.9561,             0.96924,             0.74783,            0.016836,           0.0069239,           0.0002411,            0.001585,            0.001585,            0.001585
                  87,            0.019938,           0.0080327,          0.00087679,             0.97588,             0.95715,             0.97008,             0.74851,            0.016831,           0.0070948,          0.00020845,            0.001486,            0.001486,            0.001486
                  88,            0.020098,           0.0077901,          0.00060812,             0.97418,             0.95801,             0.96948,             0.75337,             0.01662,           0.0069184,          0.00015056,            0.001387,            0.001387,            0.001387
                  89,            0.019825,           0.0079674,          0.00081443,             0.97424,             0.95568,             0.96946,             0.75141,            0.016694,           0.0067756,          0.00015844,            0.001288,            0.001288,            0.001288
                  90,            0.019989,           0.0078121,          0.00079636,             0.97473,             0.95648,             0.96954,             0.75444,            0.016543,           0.0068139,          0.00016669,            0.001189,            0.001189,            0.001189
                  91,            0.019487,           0.0078036,          0.00068031,             0.97542,             0.95697,             0.97023,             0.75404,            0.016483,            0.007062,          0.00021372,             0.00109,             0.00109,             0.00109
                  92,            0.019765,           0.0079472,          0.00083171,             0.97584,             0.95767,             0.97078,             0.75573,            0.016373,           0.0069568,          0.00026466,            0.000991,            0.000991,            0.000991
                  93,            0.019031,           0.0077743,          0.00063136,             0.97605,             0.95573,             0.97064,             0.75834,            0.016282,           0.0069352,          0.00030021,            0.000892,            0.000892,            0.000892
                  94,            0.019557,           0.0077933,          0.00068416,             0.97839,             0.95814,             0.97121,             0.75956,            0.016341,           0.0068767,          0.00018291,            0.000793,            0.000793,            0.000793
                  95,            0.019294,           0.0076838,          0.00059828,             0.97748,             0.95757,             0.97102,             0.76024,            0.016238,           0.0068425,          0.00017958,            0.000694,            0.000694,            0.000694
                  96,            0.018993,           0.0076894,          0.00043208,             0.97695,             0.95812,             0.97104,             0.76066,            0.016184,           0.0068344,          0.00013462,            0.000595,            0.000595,            0.000595
                  97,            0.019271,            0.007642,          0.00057016,             0.97811,             0.95774,             0.97136,             0.76229,            0.016126,            0.006854,           0.0001871,            0.000496,            0.000496,            0.000496
                  98,            0.019071,           0.0075959,          0.00060357,             0.97906,             0.95761,              0.9716,             0.76042,            0.016203,           0.0068033,          0.00015077,            0.000397,            0.000397,            0.000397
                  99,            0.018971,           0.0074969,           0.0005992,             0.97797,             0.95824,             0.97125,             0.76195,            0.016172,           0.0067973,          0.00021694,            0.000298,            0.000298,            0.000298
